label,content,id,permalink
1,"How long is it too long to grieve? My lil half sister died in 2010... She took her life by drinking anti-freeze. My mom died in 2007 she had colon cancer we knew she was going to die, I was prepared. What I wasnt prepared for was my sister to die by suicide, I still hurt today. ",,
1,"My uncles cancer (from a career in welding) had been in remission until a sudden return. After just being hospitalized yesterday, he passed away today. At a time of so much hurt already, how do you grieve & hurt more? I wish I could be in NJ to see my dad & rest of my family.",,
1,My mother had cancer five times since the age of 35 before succumbing at 79 from it. People actually thought I didn't grieve at her funeral. She chosen to go off chemo. I grieved her loss from the age of 13.,,
1,"My moms mom is doing well but my moms aunt on her dads side just passed away today. Shed been fighting cancer for awhile and she went peacefully. Just please pray for my mom, her siblings, and my grandma as they grieve their aunt and former sister-in-law. They were all close.",,
1,Im going up becuase one of our friends was diagnosed with stage four cancer in April I believe and then just passed away from it at the beginning of June. I felt very helpless and made the decision to find a way up there so we could all grieve and console together.,,
1,"My father passed away two weeks ago after battling lung cancer for a year. Hes been such an important person in my life & always supported me. Such a painful time to grieve & watch someone you love fade away. I need to rest & tune out the world a bit longer, but Ill be back! ",,
1,My wifes cancer and chemo. I grieve for her pain.,,
1,This. The number of times someone told me after my child was diagnosed with autism that at least she is alive or at least it isnt cancer. The mom that said its ok to grieve this because it is sad gave me such freedom.,,
1,One of my closest friends from HS lost her mother to cancer last week. We havent seen each other in years but we are still very close and have alwayssss kept in touch. Shes having such a difficult time and I dont know how to help her grieve and navigate this horrible time.,,
1,"We still grieve the loss of our former selves. We still wonder when the other shoe (or very heavy, steel-toed boot) might drop. In light of the relentless uncertainty that being a cancer survivor brings, your ongoing support & love & generosity & patience is so valued.",,
1,This is my beautiful momma when she was younger. I lost her to stage 4 inflammatory breast cancer 7 years ago and it was devastating to my family. Im sorry for your loss. I didnt grieve very well and ran away from my problems for years. Im finally coming to terms with it. ,,
1,Im about to lose my best friend to cancer and now I have to worry about finding a place to live. I should be able to grieve without added stressors.,,
1,"Actor John Travoltas wife Kelly Preston passed away this weekend after her two year battle with breast cancer at the age of 57,prayers go out to her immediate family, to husband John Travolta and their kids,may God comfort them,as they grieve their families loss at this time.",,
1,Add me to that list! I'm really pleased you're sounding so positive. Always the best way. It's a mad time anyway without the added complication of cancer treatments. I'm back for my monthly maintenance treatment next Friday so fun times. Covid test on Wed. Woop!,,
1,"im so incredibly sick of this stereotype that cancers only cry & sad emotion all over the place. theres so much more to us than that. we also sob, weep, bawl, grieve, blubber & snivel. were also despressed, unhappy, somber, melancholy, morose, distressed, needy & down-hearted",,
1,"or traveling the countryside with us she fought for joy & life. I'm beyond blessed, beyond lucky to call her mom. Day by day we will grieve what we lost but we will also celebrate and cherish all that she gave. Cancer does not define you mom. I love you mom & will miss you always ",,
1,"My mom is high risk for grave complications should she become infected due to her age & the cancer shes fighting. You may know my father in law died last month & that my wife couldnt fly back to Seoul to see him in hospice or be with her mother, sisters, and brother to grieve.",,
1,There are some specific forms of immunosuppression as part of cancer therapy where the advice to change may not change Im afraid.,,
1,Havent been as active on social media mostly because I have no internet but mainly because I lost my cousin to cancer. Need the time to grieve and take care of myself so I wont be very active Stay safe and wear a fucking mask. Please dont send DMs about it. Just need space x,,
1,Its hard when you dont have a good relationship with a parent. You want one but something keeps pulling you or them back. I blamed myself for years it hurt. My Dad took cancer we had a different relationship. When he died I didnt know how to grieve.,,
1,12/24/2008 I watched my bigger than life beloved brother slowly lose his war with cancer. The hours I spent by his side reading & talking with him are ones I cherish. BUT...12 years later his loss is still with me. I grieve for him & how damned lost I am without him. I care. ,,
1,"Having talked to other parents whove lost a child to cancer, like me, the atheist ones struggled the worst. And no, having a spiritual dimension doesnt mean you dont struggle and grieve at agonizing levels and that everything is easy, either.",,
1,"(cont) to breast cancer; shortly before we were on lockdown, IIRC. Never had the time to properly grieve because COVID lockdown literally happened the day she passed and it was just a flurry of emotional things after emotional things. I won't presume to know how anyone in her-",,
1,Thanks for that. I never paid attention to politics until March because Im a person with cancer trying to survive a pandemic and I had to figure it out. I am appalled by our federal leadership and the anti science stance. I do grieve every day. Thanks for your insight.,,
1,"I was besieged by my beloveds family of ferals when they thought I might benefit from his death, from same cancer. In reality I fought for my life against them for 12 months before running for safety. 11 years later Im feeling safe enough to grieve without help from anyone",,
